Location,SO2-2017
Jamshedpur,36
"Saraikela
Kharsawan",35
Byrnihat,33
Bhiwandi,31
Dombivali/A mbernath,29
Badlapur,26
Dehradun,26
Nagda,25
Singrauli,25
Ulhasnagar,24
