Location,NO2-2016
Delhi,91
"Saraikela
Kharsawan",47
Jamshedpur,45
Vijaywada,44
Aurangabad,43
Chitoor,40
Dhanbad,38
Jharia,38
Ranchi,37
Kochi,37
