Location,SO2-2016
Byrnihat,42
"Saraikela
Kharsawan",37
Jamshedpur,36
Pune,36
Bhiwandi,35
Pimpri- Chinchwad,32
Nagda,27
Dombivali/Am bernath,27
Nanded,27
Badlapur,25
