Location,SO2-2018
"Pimpri-
Chinchwad",39
Pune,39
Jamshedpur,37
Saraikela,36
Bhiwandi,32
Silvassa,31
Daman,28
Dombivali,27
Byrnihat,26
Ambernath,25
